cgpa,dsa_score,aptitude_score,projects,internships,certifications,communication,skills_score,placed
7.11,92,86,2,3,0,61,63,1
9.59,81,45,5,1,3,91,47,1
8.65,33,83,1,3,1,56,80,1
8.07,52,42,5,2,4,46,69,1
6.17,44,70,1,0,1,64,40,0
6.17,72,72,2,1,4,84,52,0
5.75,58,74,1,0,2,43,85,0
9.22,65,54,1,0,4,75,39,0
8.08,42,69,1,1,3,45,81,0
8.54,61,82,0,3,0,70,59,1
5.59,88,59,0,0,4,58,36,0
9.67,57,69,0,2,4,83,44,1
9.08,71,59,2,0,0,93,90,1
6.41,74,63,5,1,3,78,64,1
6.28,91,52,4,1,1,66,84,1
6.29,86,80,1,1,4,49,93,1
6.81,35,52,1,3,0,65,79,0
7.76,57,36,2,0,2,58,39,0
7.36,57,88,1,3,0,78,89,1
6.75,73,69,0,3,2,42,90,1
8.13,59,50,4,1,3,84,67,1
6.1,91,75,3,1,1,52,88,1
6.76,91,70,1,3,0,89,35,1
7.08,30,67,0,0,5,67,52,0
7.46,56,38,3,2,4,59,66,0
8.88,91,67,4,3,3,67,81,1
6.36,32,48,3,0,0,47,83,0
7.71,56,55,0,1,4,80,45,0
8.05,38,82,5,1,0,78,55,0
5.7,91,54,5,0,2,40,60,0
8.11,66,90,3,2,0,42,59,1
6.23,80,42,2,1,5,52,56,0
5.78,73,41,3,1,0,67,93,0
9.58,53,37,1,1,0,88,61,0
9.65,88,51,1,0,5,64,83,1
8.98,61,67,5,3,3,72,47,1
6.81,81,82,2,1,0,77,67,1
5.92,91,46,0,3,5,92,68,1
8.44,87,93,1,2,4,45,75,1
7.39,81,85,5,1,2,83,69,1
6.02,41,56,4,1,2,84,35,0
7.63,68,89,5,2,0,71,55,1
5.65,31,56,1,1,3,84,82,0
9.41,32,80,1,3,3,86,89,1
6.61,85,64,5,0,4,60,40,0
8.35,88,72,0,3,0,55,62,1
6.84,31,72,3,0,2,93,51,0
7.74,31,79,1,0,3,60,39,0
7.85,83,85,5,3,0,50,65,1
6.29,30,88,5,3,3,76,39,0
9.67,48,42,2,3,5,75,72,1
8.83,31,61,3,3,3,74,37,0
9.54,82,61,4,2,2,58,87,1
9.35,73,68,0,1,1,59,57,0
8.07,61,55,4,0,4,57,71,1
9.46,61,64,3,3,4,86,87,1
5.88,84,67,3,3,2,80,71,1
6.34,85,62,3,3,3,88,44,1
5.69,46,81,4,2,0,53,44,0
6.9,67,67,3,3,3,54,53,1
7.17,53,39,5,3,2,70,51,0
6.67,40,94,4,3,4,40,55,1
9.06,45,82,3,1,3,92,48,1
7.03,88,53,5,2,4,93,43,1
6.71,32,38,2,3,0,93,80,0
7.83,49,69,3,0,4,42,35,0
6.11,88,83,4,0,4,55,85,1
8.95,65,51,1,0,1,62,79,0
5.82,48,78,3,2,1,50,47,0
9.74,48,62,1,2,5,51,38,0
8.82,49,64,5,0,1,49,35,0
6.35,81,63,2,3,4,71,83,1
5.52,62,80,0,2,2,55,74,0
9.01,69,87,2,0,4,47,66,1
8.54,68,40,3,0,2,77,68,0
8.63,30,69,1,3,2,51,62,0
8.82,40,94,1,1,1,63,65,0
5.82,86,75,4,2,3,67,42,1
7.04,79,71,1,3,0,92,73,1
6,52,58,4,0,1,47,60,0
9.21,60,63,5,0,1,67,92,1
8.18,71,83,0,3,3,75,68,1
6.92,36,80,3,2,0,65,88,0
5.77,45,87,4,1,4,47,88,1
6.84,89,65,0,1,5,89,37,0
6.9,31,69,1,0,5,67,93,0
8.64,30,94,1,2,4,67,84,1
8.24,77,67,0,1,1,76,46,0
9.32,41,86,1,2,0,80,35,0
7.53,66,55,5,2,1,75,88,1
6.01,61,66,5,0,2,66,78,0
8.57,38,57,0,1,1,93,39,0
8.77,48,67,4,3,1,56,64,1
7.91,77,37,4,0,4,48,64,0
8.82,32,52,0,1,4,72,93,0
7.62,49,59,4,1,4,92,91,1
7.75,53,76,4,1,5,59,51,1
7.34,83,65,5,1,2,52,82,1
5.61,62,88,4,1,4,67,81,1
5.96,53,92,2,2,0,87,57,0
